CustomerID|Name|Address1|Birthday|Phone
100000001|Catherine M. Thomas|3005 Brookside Drive,Guin,AL,35563,US||205-412-9602
100000001|Thomas, Catherine M.|3005 Brookside Drive,Guin,AL,35563,US|1927-01-01|
100000001|CAT THOMAS|3005 BROOKSIDE DRIVE,GUIN,ALABAMA,35563,US||
100000002|VON NEUMANN, JOHN|4026 MAPLE LANE,HUNTSVILLE,ALABAMA,35802,US||
100000002|John L. von Neumann|4026 Maple Lane,Huntsville,AL,35802,US||256-522-5585
100000002|von Neumann, John L.|4026 Maple Lane,Huntsville,AL,35802,US|1927-01-01|
100000003|Tennyson, Sam C.|2715 Mulberry Avenue,Donaldson,AR,71941,US|1927-01-01|
100000003|SAM TENNYSON|2715 MULBERRY AVE,DONALDSON,ARKANSAS,71941,US||
100000003|Sam C. Tennyson|2715 Mulberry Avenue,Donaldson,AR,71941,US||501-384-1324
100000004|Curry, Kristi R.|399 Masonic Hill Road,Little Rock,AR,72212,US|1927-01-01|
100000004|CURRY, CHRISTY|399 MASONIC HILL ROAD,LITTLE ROCK,ARKANSAS,72212,US||
100000004|Kristi R. Curry|399 Masonic Hill Road,Little Rock,AR,72212,US||501-529-6712
100000005|WANDA SMITH|2190 CEDAR ST,PINE BLUFF,ARKANSAS,71601,US||
100000005|Smith, Wanda R.|2190 Cedar Street,Pine Bluff,AR,71601,US|1927-01-01|
100000005|Wanda R. Smith|2190 Cedar Street,Pine Bluff,AR,71601,US||870-814-4444
100000006|JIM HOADLEY|1078 DAVIS AVE,CONCORD,CALIFORNIA,94520,US||
100000006|James R.R. Hoadley|1078 Davis Ave,Concord,CA,94520,US||707-738-1378
100000006|Hoadley, James R.R.|1078 Davis Avenue,Concord,CA,94520,US|1927-01-01|
100000007|CALVIN WENZEL|1007 THOMPSON DR,DUBLIN,CALIFORNIA,94568,US||
100000007|Calvin B. Wenzel|1007 Thompson Drive,Dublin,CA,94568,US||510-453-8297
100000007|Wenzel, Calvin B.|1007 Thompson Drive,Dublin,CA,94568,US|1927-01-01|
100000008|Jennifer R. Ryan|4974 Water Street,Fremont,CA,94539,US||925-259-5665
100000008|Ryan, Jennifer R.|4974 Water Street,Fremont,CA,94539,US|1927-01-01|
100000008|JENNIFER RYAN|4974 WATER STREET,FREMONT,CALIFORNIA,94539,US||
100000009|Richard T. Reyes|4819 Kerry Way,Los Angeles,CA,90017,US||562-738-9044
100000009|Reyes, Richard T.|4819 Kerry Way,Los Angeles,CA,90017,US|1927-01-01|
100000009|DICK REYES|4819 KERRY WAY,LOS ANGELES,CALIFORNIA,90017,US||
100000010|James, Attwood|3238 Heritage Road,San Joaquin,CA,93660,US||559-693-5324
100000010|Attwood, James|3238 Heritage Road,San Joaquin,CA,93660,US|1927-01-01|
100000010|ATTWOOD, JAMES|3238 HERITAGE RD,SAN JOAQUIN,CALIFORNIA,93660,US||
100000011|Kaye, Echo P.|3215 Thompson Drive,San Leandro,CA,94578,US|1927-01-01|
100000011|Echo P. Kaye|3215 Thompson Drive,San Leandro,CA,94578,US||510-347-2876
100000011|ECHO KAYE|3215 THOMPSON DR,SAN LEANDRO,CALIFORNIA,94578,US||
100000012|Christian, Anna R.|3323 Morgan Street,Fort Walton beach,FL,32548,US|1927-01-01|
100000012|CHRISTIAN, ANNA|3323 MORGAN ST,FORT WALTON BEACH,FLORIDA,32548,US||
